"","Trait2","genetic.value"
"10910",NA,1.46343494199386
"10911",NA,1.61327112567481
"11360",1.483,1.44982914710059
"11361",1.4535,1.55186286200025
"11362",1.2944,1.47537339670551
"11363",1.5832,1.51067271980562
"11364",1.5027,1.46309665117313
"11365",1.4875,1.48726986694649
"11366",1.6024,1.51171599665435
"11367",1.5165,1.56459273509355
"11368",1.5672,1.53849942962527
"11369",1.6675,1.54701000583996
"11370",1.3501,1.46740666794392
"11371",1.4514,1.47768901354509
"11372",1.4825,1.47249631369505
"11373",1.2765,1.47127735070894
"11374",1.4637,1.51195368605665
"11375",1.567,1.55727887460885
"11376",1.3721,1.47409504377139
"11377",1.4309,1.50921991459079
"11378",1.5286,1.51699040533662
"11379",1.5472,1.5564598434019
"11380",1.6701,1.56566884097813
"11381",1.477,1.49030079645861
"11382",1.4638,1.46284080429235
"11383",1.4471,1.57089357579203
"11384",1.4541,1.53208947945624
"11385",1.531,1.49539007121012
"11386",1.5267,1.47995663187918
"11387",1.5355,1.49618809342422
"11388",1.496,1.50668240926986
"11389",1.5095,1.51362017338985
"11390",1.444,1.46121848784798
"11391",1.4876,1.5631939551581
"11392",1.5481,1.51839113609986
"11393",1.5676,1.55504979873782
"11394",1.4292,1.49753490357855
"11395",1.5182,1.50511532078635
"11396",1.5019,1.53803253837698
"11397",1.5556,1.50242564674047
"11398",1.5039,1.50979397090901
"11399",1.4608,1.4851778793506
"11400",1.5388,1.54650825721285
"11401",1.461,1.4964535088437
"11402",1.5392,1.6103454308332
"11403",1.461,1.44328262006323
"11404",1.5516,1.59983431999197
"11405",1.3214,1.4896202331216
"11406",1.4644,1.47810004749716
"11407",1.5814,1.55573792512678
"11408",1.5453,1.47736441404186
"11409",1.4914,1.48347523315404
"11410",1.4472,1.51403712226569
"11411",1.5268,1.54631972341619
"11412",1.4685,1.48208948136341
"11413",1.3657,1.46120800620432
"11414",1.4632,1.49131546046598
"11415",1.6542,1.56879142913416
"11416",1.4538,1.49158189972682
"11417",1.4401,1.47119142357128
"11418",1.6076,1.55619103168461
"11419",1.4712,1.47773809681496
"11420",1.5262,1.54557439659094
"11421",1.5079,1.51681102691194
"11422",1.5637,1.46388276949319
"11423",1.4049,1.45260107833341
"11424",1.4618,1.44261579458724
"11425",1.4837,1.49773508163041
"11426",1.5467,1.49164473417129
"11427",1.5127,1.53111216248439
"11428",1.4862,1.47740667184841
"11429",1.5286,1.50369070362878
"11430",1.4795,1.45142969295086
"11431",1.573,1.57045910294239
"11432",1.5546,1.50376837792726
"11433",1.467,1.48717815031706
"11434",1.6168,1.55923055225004
"11435",1.6388,1.53692469252519
"11436",1.4201,1.49426804679348
"11437",1.4762,1.49412455473864
"11438",1.5995,1.60100509173602
"11439",1.5139,1.52028649643996
"11440",1.6753,1.53652364893286
"11441",1.4146,1.46316905522126
"11442",1.4339,1.46964053298368
"11443",1.4149,1.4491188518322
"11444",1.4814,1.47853446322682
"11445",1.5201,1.51896145409219
"11446",1.5118,1.49762977949814
"11447",1.5868,1.52275835370364
"11448",1.5322,1.49619870617326
"11449",1.6525,1.56303949509987
"11450",1.5883,1.49481224701475
"11451",1.3962,1.45572471528886
"11452",1.4292,1.43367096571554
"11453",1.5748,1.52481172545259
"11454",1.442,1.49969663869791
"11455",1.4732,1.47597209823569
"11456",1.4589,1.45724478892295
"11457",1.3993,1.43114570756002
"11458",1.3839,1.44417996365281
"11459",1.6231,1.53701606743906
"11460",1.4424,1.49110144622013
"11461",1.4956,1.49064632967844
"11462",1.4538,1.43877673352369
"11463",1.4761,1.48035102625574
"11464",1.6122,1.52944190022307
"11465",1.4564,1.53616616106365
"11466",1.3904,1.42717243053552
"11467",1.453,1.4699489559585
"11468",1.5527,1.47642529632617
"11469",1.3862,1.46795304538557
"11470",1.3718,1.44565337470195
"11471",1.5767,1.46662254838125
"11472",1.4814,1.4564301894865
"11473",1.5809,1.50492557192822
"11474",1.5382,1.47439903496442
"11475",1.392,1.45605113518516
"11476",1.4813,1.42217232769299
"11477",1.4935,1.4411737110647
"11478",1.5196,1.52527633242321
"11479",1.397,1.46376720765219
"11480",1.5245,1.4885923838542
"11481",1.5531,1.4868667222226
"11482",1.468,1.46533303991162
"11483",1.6107,1.52120761135228
"11484",1.488,1.5166707471864
"11485",1.4489,1.42374709890233
"11486",1.3931,1.41722406396088
"11487",1.5315,1.49559071245785
"11488",1.4248,1.47313408815734
"11489",1.4859,1.47774089938944
"11490",1.3504,1.44098509980573
"11491",1.499,1.4758337516119
"11492",1.5505,1.41847977301106
"11493",1.3966,1.43263744176496
"11494",1.4577,1.4775441732579
"11495",1.4365,1.4507374169298
"11496",1.4857,1.46949175156212
"11497",1.3466,1.47290249784635
"11498",1.4273,1.4508001852336
"11499",1.6129,1.49842523540588
"11500",1.4357,1.44929532244101
"11501",1.4046,1.47816747187748
"11502",1.4578,1.4582271437205
"11503",1.4973,1.43936833389139
"11504",1.4658,1.46380281818849
"11505",1.3827,1.39637641331745
"11506",1.5485,1.48016479375714
"11507",1.4986,1.52866235878182
"11508",1.3819,1.47301973723425
"11509",1.3473,1.37931339964512
"11510",1.5202,1.45913747331726
"11511",1.4558,1.51405026038836
"11512",1.4128,1.45849914519176
"11513",1.3429,1.44642857105562
"11514",1.5336,1.48576917505014
"11515",1.4041,1.45343390111903
"11516",1.3655,1.48176928398901
"11517",1.4222,1.42642977395865
"11518",1.412,1.45036802568652
"11519",1.4999,1.52616394906443
"11520",1.4822,1.49298090879467
"11521",1.3776,1.43232316665498
"11522",1.4892,1.47169314367297
"11523",1.3492,1.43092145408443
"11524",1.555,1.49070728872662
"11525",1.4894,1.56090278178975
"11526",1.4898,1.48398259012451
"11527",1.5536,1.45794418483676
"11528",1.4619,1.47510574436865
"11529",1.41,1.43548984324786
"11530",1.5774,1.52246917824326
"11531",1.5705,1.5098131022795
"11532",1.5046,1.44213728951445
"11533",1.449,1.48061439417002
"11534",1.4975,1.45859699322282
"11535",1.452,1.46698680544855
"11536",1.4396,1.44385808420457
"11537",1.3808,1.50196307277011
"11538",1.5716,1.52321521441755
"11539",1.5387,1.50286086833103
"11540",1.402,1.44720451830709
"11541",1.4763,1.45782443057229
"11542",1.6091,1.50198255910472
"11543",1.4157,1.48329342618332
"11544",1.4898,1.47150971107812
"11545",1.5737,1.49069467824624
"11546",1.5487,1.52897630929189
"11547",1.5031,1.50752373008523
"11548",1.4157,1.49946310163772
"11549",1.5725,1.50506968807351
"11550",1.4025,1.47900980921908
"11551",1.4359,1.45319334199123
"11552",1.4566,1.4770925744965
"11553",1.4913,1.47597273747547
"11554",1.4162,1.48769141534728
"11555",1.5535,1.50227611340063
"11556",1.4432,1.4773565320407
"11557",1.6276,1.54801412555894
"11558",1.4485,1.44952610892855
"11559",1.5743,1.50781618844827
"11560",1.4598,1.44731191746765
"11561",1.2365,1.35439748206159
"11562",1.3567,1.41513741068763
"11563",1.2957,1.33778260381003
"11564",1.4641,1.45387127898026
"11565",1.3574,1.45991934845779
"11566",1.426,1.45591001828303
"11567",1.4668,1.41773086559432
"11568",1.4285,1.39425686292798
"11569",1.4492,1.48748891806768
"11570",1.3061,1.40174474256844
"11571",1.4893,1.46392114924244
"11572",1.4128,1.46523392420149
"11573",1.6377,1.47042725729627
"11574",1.4986,1.46753493881816
"11575",1.3004,1.38383983807448
"11576",1.4508,1.43468488885672
"11577",1.6203,1.49400540651541
"11578",1.4199,1.43003695431475
"11579",1.4317,1.4607807984314
"11580",1.5826,1.52301617687125
"11581",1.3702,1.43411744311464
"11582",1.3874,1.43531458066788
"11583",1.5842,1.51984570897857
"11584",1.5248,1.45033443127476
"11585",1.5247,1.41520857407616
"11586",1.5393,1.49502232974843
"11587",1.502,1.48857635169498
"11588",1.5705,1.46327127536178
"11589",1.5477,1.49313956275694
"11590",1.4118,1.34408428161664
"11591",1.4708,1.40659308856299
"11592",1.268,1.36721383617231
"11593",1.5258,1.46279897274098
"11594",1.3129,1.40203560827851
"11595",1.4362,1.4278322195428
"11596",1.5128,1.49021937131914
"11597",1.4912,1.47660168036347
"11598",1.4806,1.45080226405016
"11599",1.5592,1.56834397724325
"11600",1.442,1.47982452813446
"11601",1.4015,1.47736976240258
"11602",1.4995,1.48615010577933
"11603",1.4681,1.44626733204556
"11604",1.5657,1.46231220743579
"11605",1.4757,1.45122230828535
"11606",1.6109,1.52195463152439
"11607",1.4141,1.4353042707708
"11608",1.4122,1.46801586874218
"11609",1.4279,1.43000285869482
"11610",1.5226,1.49129341576878
"11611",1.427,1.44054459332482
"11612",1.4323,1.4652021427048
"11613",1.4548,1.48233417205961
"11614",1.4412,1.46535081130556
"11615",1.4869,1.5000965908683
"11616",1.4854,1.47484097356101
"11617",1.534,1.48804357568216
"11618",1.6191,1.52381861769704
"11619",1.5269,1.50404682106867
"11620",1.3896,1.47113128254682
"11621",1.4065,1.51190447550328
"11622",1.5171,1.54281203863201
"11623",1.6555,1.51606754449808
"11624",1.5573,1.51170956029636
"11625",1.3915,1.44869592559864
"11626",1.421,1.48605257103493
"11627",1.6097,1.5254882714536
"11628",1.4711,1.5018094558035
"11629",1.4619,1.46026391199701
"11630",1.6636,1.53235571325763
"11631",1.4692,1.48427549926809
"11632",1.4359,1.49542570762052
"11633",1.5244,1.55689423729111
"11634",1.4324,1.46912817471082
"11635",1.5669,1.50936777427075
"11636",1.5911,1.53337547998466
"11637",1.671,1.54955415295272
"11638",1.4791,1.47806187389007
"11639",1.3278,1.46672965061989
"11640",1.5923,1.50279719960551
"11641",1.569,1.43053876185294
"11642",1.3734,1.44892576498455
"11643",1.5565,1.53604257710085
"11644",1.4817,1.45597526383284
"11645",1.3736,1.44006071925016
"11646",1.4691,1.48827223686007
"11647",1.3951,1.44903375072014
"11648",1.4966,1.47176582935493
"11649",1.5577,1.48361093161567
"11650",1.6054,1.52190808248238
"11651",1.5282,1.48568578427273
"11652",1.5404,1.50334054059291
"11653",1.5322,1.514781810651
"11654",1.4361,1.49153893234758
"11655",1.4778,1.48883289521234
"11656",1.3833,1.44843928369109
"11657",1.3042,1.4601168999631
"11658",1.4146,1.46857686999699
"11659",1.5985,1.47376550842405
"11660",1.694,1.53191110284152
"11661",1.4727,1.48988040519451
"11662",1.62,1.57953776568824
"11663",1.5127,1.52665966662238
"11664",1.6062,1.54136084660148
"11665",1.4533,1.49530699841107
"11666",1.669,1.62663159860535
"11667",1.2996,1.43490076885599
"11668",1.3426,1.4349817246979
"11669",1.4538,1.50829797372254
"11670",1.3278,1.3684446390082
"11671",1.4212,1.53708562140715
"11672",1.3388,1.42739626121652
"11673",1.3763,1.47231408473761
"11674",1.4833,1.51976886566879
"11675",1.4874,1.51491533467684
"11676",1.5594,1.48063017165995
"11677",1.6294,1.48915846048655
"11678",1.6154,1.550880119612
"11679",1.6672,1.571905787042
"11680",1.6027,1.50890903296948
"11681",1.4212,1.49901672628136
"11682",1.5021,1.48475933622161
"11683",1.5266,1.55231568499437
"11684",1.4137,1.42616668393306
"11685",1.7086,1.55879391278051
"11686",1.5527,1.46387197630911
"11687",1.5599,1.51404537821463
"11688",1.4199,1.45100010679268
"11689",1.508,1.50327040104439
"11690",1.5563,1.52470078275715
"11691",1.5572,1.51258759906555
"11692",1.5865,1.54485692431314
