"","1","2","3","4","5","6","7"
"1","       ","44.5267","31.3000","27.6533","43.2133","22.0267","26.5267"
"2","       ","       ","47.1833","31.1933","33.9333","49.0867","30.8733"
"3","       ","       ","       ","22.0500","42.2267","27.5700","39.9900"
"4","       ","       ","       ","       ","40.7200","27.6000","40.9567"
"5","       ","       ","       ","       ","       ","32.7200","25.9567"
"6","       ","       ","       ","       ","       ","       ","58.6000"
"7","       ","       ","       ","       ","       ","       ","       "
