"","1","2","3","4","5","6","7"
"1","       ","26.5033","30.7367","12.9033","32.4333","10.9233","18.2533"
"2","       ","       ","25.7567","16.5833","23.4200","16.0767","31.3333"
"3","       ","       ","       ","20.0333","16.4600","18.7067","30.5567"
"4","       ","       ","       ","       ","31.0733","18.2600","23.8200"
"5","       ","       ","       ","       ","       ","22.3900","32.4267"
"6","       ","       ","       ","       ","       ","       ","35.9567"
"7","       ","       ","       ","       ","       ","       ","       "
