"","P2=1","P2=2","P2=3","P2=4","P2=5","P2=6","P2=7"
"P1=1"," 0.2556"," 0.3322","-0.9897","-0.0209"," 0.3349","-0.7535"," 0.9689"
"P1=2"," 0.0650"," 1.8963"," 1.4946","-0.1382"," 0.7158","-1.3725"," 0.7149"
"P1=3"," 2.7800"," 0.7083","-2.0201"," 1.5082"," 0.2672","-1.7278"," 0.0413"
"P1=4","-0.3217"," 0.1650","-0.9917"," 0.1094"," 0.7194","-1.7789"," 0.0401"
"P1=5"," 0.5750","-0.7633"," 0.2683","-0.5667"," 0.1537"," 0.7084"," 0.8791"
"P1=6"," 2.2283"," 1.6467"," 1.0183"," 1.3967","-0.2250","-2.1313"," 1.4358"
"P1=7","-1.1817","-0.0817","-0.3350","-2.5467","-0.0833"," 1.8950"," 1.7363"
