rep,var,wregime,das,depth,wexr,rld,RLD100
2,MOROB,WWATER,49,5,0.804443,0.546465,54.6465
2,MOROB,WWATER,49,15,0.601279,1.048795,104.8795
2,MOROB,WWATER,49,25,0.678577,1.06203,106.203
2,MOROB,WWATER,49,35,1.080195,1.455955,145.5955
2,MOROB,WWATER,49,45,1.957054,0.89466,89.466
2,MOROB,WWATER,49,55,0.860132,1.20942,120.942
2,MOROB,WWATER,49,65,0.470489,1.77022,177.022
2,MOROB,WWATER,62,5,0.047384,0.24196,24.196
2,MOROB,WWATER,62,15,0.024915,0.61245,61.245
2,MOROB,WWATER,62,25,0.003478,0.98365,98.365
2,MOROB,WWATER,62,35,0.011254,1.10058,110.058
2,MOROB,WWATER,62,45,0.005697,1.074005,107.4005
2,MOROB,WWATER,62,55,1.04741,1.12756,112.756
2,MOROB,WWATER,62,65,0.919184,1.13547,113.547
2,MOROB,WWATER,69,5,-0.061047,0.160725,16.0725
2,MOROB,WWATER,69,15,0.052346,1.17346,117.346
2,MOROB,WWATER,69,25,-0.019355,0.443715,44.3715
2,MOROB,WWATER,69,35,0.059078,0.93923,93.923
2,MOROB,WWATER,69,45,0.19549,0.329845,32.9845
2,MOROB,WWATER,69,55,-0.014625,0.520765,52.0765
2,MOROB,WWATER,69,65,0.911453,0.40077,40.077
2,MOROB,WWATER,83,5,2.258351,0.084875,8.4875
2,MOROB,WWATER,83,15,1.536069,0.71663,71.663
2,MOROB,WWATER,83,25,1.839762,0.20864,20.864
2,MOROB,WWATER,83,35,1.742548,0.20188,20.188
2,MOROB,WWATER,83,45,1.761855,0.025625,2.5625
2,MOROB,WWATER,83,55,3.059113,0.040065,4.0065
2,MOROB,WWATER,83,65,1.573426,0.08929,8.929
2,MOROB,WWATER,90,5,1.210306,0.10865,10.865
2,MOROB,WWATER,90,15,1.667201,0.889125,88.9125
2,MOROB,WWATER,90,25,1.720405,0.31074,31.074
2,MOROB,WWATER,90,35,1.699534,0.262495,26.2495
2,MOROB,WWATER,90,45,1.671039,0.11207,11.207
2,MOROB,WWATER,90,55,1.705977,0,0
2,MOROB,WWATER,90,65,1.640495,0,0
3,MOROB,WWATER,14,5,0.185836,0.004335,0.4335
3,MOROB,WWATER,14,15,0.178292,0.024545,2.4545
3,MOROB,WWATER,14,25,0.163211,0.14235,14.235
3,MOROB,WWATER,14,35,0.167448,0.166395,16.6395
3,MOROB,WWATER,14,45,0.198362,0.330195,33.0195
