Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
2040,S,e47,M4FNS-3076,3,77,63.167,100.95,2875.17,3.1129,,G,SG
2340,S,e47,M4FNS-3076,3,77,63.167,100.95,2875.17,3.1129,,H,SH
1657,S,e20,DK167,1,86,112.667,381.57,11074.3,3.0548,,F,SF
254,S,e45,IR81025-B-425-B,2,86,75.967,458.4,908.56,50.453,,A,SA
2012,S,e38,IR78908-121-B-2-B,2,68,104.333,556.6,2893.28,17.0561,,G,SG
2312,S,e38,IR78908-121-B-2-B,2,68,104.333,556.6,2893.28,17.0561,,H,SH
1721,S,e41,IR78910-23-1-3-3,2,68,148.667,601.6,3264.71,16.3377,,F,SF
1981,S,e28,IR74371-54-1-1,1,73,91.833,637.27,2014.53,28.0461,,G,SG
2281,S,e28,IR74371-54-1-1,1,73,91.833,637.27,2014.53,28.0461,,H,SH
1918,S,e7,DGI-196,1,81,72.667,647.15,3478.83,16.4929,,G,SG
2218,S,e7,DGI-196,1,81,72.667,647.15,3478.83,16.4929,,H,SH
2015,S,e39,IR78908-156-B-2-B,2,70,92,647.71,2513.92,22.8431,,G,SG
2315,S,e39,IR78908-156-B-2-B,2,70,92,647.71,2513.92,22.8431,,H,SH
2597,S,e33,IR77298-14-1-2-13,2,73,58.333,665.66,2469.97,26.9502,,I,SI
1933,S,e12,DK109,1,77,71.167,666.33,4030.43,14.6576,,G,SG
2233,S,e12,DK109,1,77,71.167,666.33,4030.43,14.6576,,H,SH
1927,S,e10,DK106,1,77,62.5,737.63,3926.58,16.6553,,G,SG
2227,S,e10,DK106,1,77,62.5,737.63,3926.58,16.6553,,H,SH
163,S,e13,DK117,1,83,69.8,766.68,4815.13,15.9222,,A,SA
2014,S,e39,IR78908-156-B-2-B,1,70,90.833,768.5,3224.15,21.1328,,G,SG
2314,S,e39,IR78908-156-B-2-B,1,70,90.833,768.5,3224.15,21.1328,,H,SH
211,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,84,76.667,769.99,2070.72,37.1847,,A,SA
472,S,e23,DSU-4-18,1,83,78,792.33,4472.6,17.7153,,B,SB
178,S,e18,DK142,1,86,58,810.98,3906.97,20.7574,,A,SA
2002,S,e35,IR77298-5-6-25,1,77,76,815.81,2283.83,31.6704,,G,SG
2302,S,e35,IR77298-5-6-25,1,77,76,815.81,2283.83,31.6704,,H,SH
193,S,e23,DSU-4-18,1,86,64.333,818.15,3871.82,21.1309,,A,SA
1644,S,e15,DK124,3,89,113,822.77,7982.07,9.1388,,F,SF
1967,S,e23,DSU-4-18,2,81,67.333,828.67,3270.96,22.4612,,G,SG
2267,S,e23,DSU-4-18,2,81,67.333,828.67,3270.96,22.4612,,H,SH
2011,S,e38,IR78908-121-B-2-B,1,66,100.667,831.18,2683.52,27.461,,G,SG
2311,S,e38,IR78908-121-B-2-B,1,66,100.667,831.18,2683.52,27.461,,H,SH
201,S,e25,IR71525-19-1-1,3,82,77.1,837.74,1829.54,45.7896,,A,SA
1669,S,e24,IR70215-70-CPA-3-4-1-3,1,93,119.167,855.37,8685.7,8.7312,,F,SF
2601,S,e34,IR77298-5-6-18,3,77,62,867.19,3448.38,25.1477,,I,SI
2020,S,e41,IR78910-23-1-3-3,1,67,93,883.77,3181.42,24.6289,,G,SG
2320,S,e41,IR78910-23-1-3-3,1,67,93,883.77,3181.42,24.6289,,H,SH
2017,S,e40,IR78908-193-B-3-B,1,73,95.833,889.84,2978.07,26.4915,,G,SG
2317,S,e40,IR78908-193-B-3-B,1,73,95.833,889.84,2978.07,26.4915,,H,SH
1997,S,e33,IR77298-14-1-2-13,2,75,65.667,890.53,3212.94,24.5738,,G,SG
2297,S,e33,IR77298-14-1-2-13,2,75,65.667,890.53,3212.94,24.5738,,H,SH
205,S,e27,IR74371-46-1-1,1,75,72.667,909.16,2385.26,38.1157,,A,SA
2564,S,e22,DSL-89-3,2,75,56.333,943.79,2802.56,33.676,,I,SI
1911,S,e4,D6-547-2R,3,81,66.5,949.16,4146.93,20.2928,,G,SG
2211,S,e4,D6-547-2R,3,81,66.5,949.16,4146.93,20.2928,,H,SH
2648,S,e50,URI,2,73,86.667,956.4,2894.61,33.0408,,I,SI
1984,S,e29,IR75282-58-1-2-3,1,77,72.5,956.61,4122.53,20.5731,,G,SG
2284,S,e29,IR75282-58-1-2-3,1,77,72.5,956.61,4122.53,20.5731,,H,SH
1996,S,e33,IR77298-14-1-2-13,1,75,72,966.82,1059.65,80.893,,G,SG
2296,S,e33,IR77298-14-1-2-13,1,75,72,966.82,1059.65,80.893,,H,SH
140,S,e4,D6-547-2R,2,88,64.333,979.29,4639.54,21.1075,,A,SA
1013,S,e5,D6-547-5S,2,81,83.667,982.16,1880.78,46.299,,D,SD
1339,S,e14,DK122,1,74,60.833,996.26,5219.95,16.9213,,E,SE
200,S,e25,IR71525-19-1-1,2,82,75.167,1007.03,2185.93,46.0688,,A,SA
190,S,e22,DSL-89-3,1,88,61.9,1022.47,4338.22,23.5689,,A,SA
1923,S,e8,DGI-32,3,77,72.333,1024.9,3589.47,25.3149,,G,SG
2223,S,e8,DGI-32,3,77,72.333,1024.9,3589.47,25.3149,,H,SH
2615,S,e39,IR78908-156-B-2-B,2,70,76.667,1034.07,2719.2,38.0283,,I,SI
2603,S,e35,IR77298-5-6-25,2,77,57,1035.16,3146.5,32.8987,,I,SI
2561,S,e21,DSL-69-6,2,70,65,1042.1,3367.32,30.9474,,I,SI
207,S,e27,IR74371-46-1-1,3,75,84.067,1064.67,2327.63,45.7403,,A,SA
2598,S,e33,IR77298-14-1-2-13,3,70,57,1070.26,3487.36,30.6898,,I,SI
336,C,e25,IR71525-19-1-1,3,81,82,1077.67,7129.47,15.1157,,B,CB
2039,S,e47,M4FNS-3076,2,75,66,1078.61,4726.23,20.2338,,G,SG
2339,S,e47,M4FNS-3076,2,75,66,1078.61,4726.23,20.2338,,H,SH
2562,S,e21,DSL-69-6,3,65,57.333,1079.53,3238.04,33.3389,,I,SI
1978,S,e27,IR74371-46-1-1,1,68,83,1083.1,2828.67,33.9478,,G,SG
2278,S,e27,IR74371-46-1-1,1,68,83,1083.1,2828.67,33.9478,,H,SH
1974,S,e25,IR71525-19-1-1,3,62,93.667,1087.93,3478.69,27.7275,,G,SG
2274,S,e25,IR71525-19-1-1,3,62,93.667,1087.93,3478.69,27.7275,,H,SH
2032,S,e45,IR81025-B-425-B,1,73,95.5,1090.81,3832.04,25.2374,,G,SG
2332,S,e45,IR81025-B-425-B,1,73,95.5,1090.81,3832.04,25.2374,,H,SH
2596,S,e33,IR77298-14-1-2-13,1,65,56.667,1091.55,4746.37,22.9976,,I,SI
1960,S,e21,DSL-69-6,1,75,73.333,1097.95,3608.38,26.9773,,G,SG
2260,S,e21,DSL-69-6,1,75,73.333,1097.95,3608.38,26.9773,,H,SH
142,S,e5,D6-547-5S,1,86,61.033,1103.65,5004.6,22.0528,,A,SA
2038,S,e47,M4FNS-3076,1,75,60.167,1104.18,3921.76,24.9623,,G,SG
2338,S,e47,M4FNS-3076,1,75,60.167,1104.18,3921.76,24.9623,,H,SH
1743,S,e48,PSBRC68,3,93,138.5,1106.19,9121.01,10.7526,,F,SF
2579,S,e27,IR74371-46-1-1,2,65,71.333,1123.25,2508.87,44.7712,,I,SI
478,S,e25,IR71525-19-1-1,1,79,99,1136.87,5251.4,21.6488,,B,SB
1987,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,73,73.833,1141.2,3299.39,30.6659,,G,SG
2287,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,73,73.833,1141.2,3299.39,30.6659,,H,SH
1949,S,e17,DK136,2,68,92.5,1147.22,3461.39,29.3847,,G,SG
2249,S,e17,DK136,2,68,92.5,1147.22,3461.39,29.3847,,H,SH
785,S,e29,IR75282-58-1-2-3,2,86,111.1,1156.09,6503.66,15.7602,,C,SC
2016,S,e39,IR78908-156-B-2-B,3,73,91.667,1169.31,3275.17,31.6534,,G,SG
2316,S,e39,IR78908-156-B-2-B,3,73,91.667,1169.31,3275.17,31.6534,,H,SH
334,C,e25,IR71525-19-1-1,1,79,84.333,1169.33,6936.87,16.8568,,B,CB
461,S,e19,DK157,2,85,70,1170.33,5040.93,23.2166,,B,SB
1961,S,e21,DSL-69-6,2,77,71,1187.67,3621.52,29.0758,,G,SG
2261,S,e21,DSL-69-6,2,77,71,1187.67,3621.52,29.0758,,H,SH
134,S,e1,APO,2,95,76.6,1188.13,4041.5,29.3983,,A,SA
1972,S,e25,IR71525-19-1-1,1,68,87.833,1188.97,3258,32.3553,,G,SG
2272,S,e25,IR71525-19-1-1,1,68,87.833,1188.97,3258,32.3553,,H,SH
139,S,e4,D6-547-2R,1,88,62.4,1194.36,4505.17,26.5109,,A,SA
229,S,e36,IR78877-163-B-1-1,1,75,81.4,1196.85,2336.67,51.2201,,A,SA
1963,S,e22,DSL-89-3,1,81,70,1206.77,4494.05,23.8074,,G,SG
2263,S,e22,DSL-89-3,1,81,70,1206.77,4494.05,23.8074,,H,SH
2018,S,e40,IR78908-193-B-3-B,2,73,98.333,1208.02,2885.16,37.1219,,G,SG
2318,S,e40,IR78908-193-B-3-B,2,73,98.333,1208.02,2885.16,37.1219,,H,SH
1993,S,e32,IR77298-14-1-2-1,1,73,69.833,1218.82,3864.2,27.9644,,G,SG
2293,S,e32,IR77298-14-1-2-1,1,73,69.833,1218.82,3864.2,27.9644,,H,SH
335,C,e25,IR71525-19-1-1,2,79,100,1227,8308.33,14.7683,,B,CB
2522,S,e8,DGI-32,2,75,60.333,1227.83,2448.45,50.147,,I,SI
244,S,e42,IR78910-34-B-2-2,1,75,84.767,1232.4,2423.39,50.8542,,A,SA
2578,S,e27,IR74371-46-1-1,1,70,76.333,1241.57,4093.24,30.3322,,I,SI
2586,S,e29,IR75282-58-1-2-3,3,77,73.667,1243.39,3984.32,31.2072,,I,SI
1741,S,e48,PSBRC68,1,93,106.333,1246.23,9442.3,11.7016,,F,SF
1901,S,e1,APO,2,81,84.167,1248.67,3861.47,28.6696,,G,SG
2201,S,e1,APO,2,81,84.167,1248.67,3861.47,28.6696,,H,SH
2019,S,e40,IR78908-193-B-3-B,3,73,93.833,1250.74,3626.84,30.5749,,G,SG
2319,S,e40,IR78908-193-B-3-B,3,73,93.833,1250.74,3626.84,30.5749,,H,SH
2573,S,e25,IR71525-19-1-1,2,63,86.333,1251.01,4488.95,27.8688,,I,SI
230,S,e36,IR78877-163-B-1-1,2,75,83.667,1259.12,2622.68,48.0088,,A,SA
2540,S,e14,DK122,2,73,60.333,1260.17,2976.27,42.3407,,I,SI
1973,S,e25,IR71525-19-1-1,2,70,88.333,1263.31,3186.38,35.151,,G,SG
2273,S,e25,IR71525-19-1-1,2,70,88.333,1263.31,3186.38,35.151,,H,SH
2516,S,e6,DA8,2,70,94.333,1264.32,3449.67,36.6503,,I,SI
215,S,e31,IR77298-14-1-2,2,84,57.3,1271,3621.92,35.0919,,A,SA
2576,S,e26,IR71700-247-1-1,2,70,77.667,1275.98,2998.75,42.5504,,I,SI
2544,S,e15,DK124,3,73,75.667,1279.32,4541.64,28.1687,,I,SI
2543,S,e15,DK124,2,73,62.333,1287.46,3748.46,34.3464,,I,SI
1742,S,e48,PSBRC68,2,93,556.333,1294.61,9554.73,12.0129,,F,SF
2519,S,e7,DGI-196,2,73,66.333,1296.7,2829.38,45.8297,,I,SI
1946,S,e16,DK135,2,77,66.667,1297.86,3294.41,34.9282,,G,SG
2246,S,e16,DK135,2,77,66.667,1297.86,3294.41,34.9282,,H,SH
1948,S,e17,DK136,1,70,97.5,1309.11,3603.19,32.2118,,G,SG
2248,S,e17,DK136,1,70,97.5,1309.11,3603.19,32.2118,,H,SH
151,S,e9,DGI-81,1,86,62.833,1317.88,3948.88,33.3736,,A,SA
149,S,e8,DGI-32,2,84,60.7,1318.1,4186.33,31.4859,,A,SA
1338,S,e13,DK117,3,74,70.833,1319.69,7152.83,16.3576,,E,SE
1919,S,e7,DGI-196,2,75,65.167,1329.43,3665.53,32.1554,,G,SG
2219,S,e7,DGI-196,2,75,65.167,1329.43,3665.53,32.1554,,H,SH
2566,S,e23,DSU-4-18,1,75,56.333,1329.53,4061.42,32.7355,,I,SI
2613,S,e38,IR78908-121-B-2-B,3,70,96,1331.33,4786.56,27.814,,I,SI
1936,S,e13,DK117,1,75,68.667,1332.65,4366.26,27.0604,,G,SG
2236,S,e13,DK117,1,75,68.667,1332.65,4366.26,27.0604,,H,SH
1909,S,e4,D6-547-2R,1,81,68.333,1333.64,4510.81,26.2127,,G,SG
2209,S,e4,D6-547-2R,1,81,68.333,1333.64,4510.81,26.2127,,H,SH
1915,S,e6,DA8,1,68,95.667,1334.49,3551.23,33.3169,,G,SG
2215,S,e6,DA8,1,68,95.667,1334.49,3551.23,33.3169,,H,SH
256,S,e47,M4FNS-3076,1,88,64.6,1336.62,5473.64,24.4192,,A,SA
213,S,e30,IR75870-8-1-2-B-6-2-B-B-B,3,86,81.733,1339.01,2628.51,50.9417,,A,SA
2029,S,e44,IR81024-B-275-3-B,1,75,89.167,1341.49,3700.16,32.1435,,G,SG
2329,S,e44,IR81024-B-275-3-B,1,75,89.167,1341.49,3700.16,32.1435,,H,SH
1966,S,e23,DSU-4-18,1,81,64.833,1345.27,3981.64,29.9552,,G,SG
2266,S,e23,DSU-4-18,1,81,64.833,1345.27,3981.64,29.9552,,H,SH
2521,S,e8,DGI-32,1,81,63.333,1348.29,3999.46,33.7118,,I,SI
179,S,e18,DK142,2,84,60.7,1349.33,4694.01,28.7457,,A,SA
148,S,e8,DGI-32,1,86,66.467,1349.98,4794.64,28.156,,A,SA
463,S,e20,DK167,1,81,87.667,1352.07,3773.67,35.829,,B,SB
241,S,e41,IR78910-23-1-3-3,1,75,89.7,1354.81,2796.97,48.4385,,A,SA
1394,S,e32,IR77298-14-1-2-1,2,78,64.933,1356.92,6761.77,17.7918,,E,SE
2513,S,e5,D6-547-5S,2,77,58.333,1357.15,3263.91,41.5804,,I,SI
2008,S,e37,IR78905-105-1-2-2,1,77,79.667,1357.4,3622.41,33.223,,G,SG
2308,S,e37,IR78905-105-1-2-2,1,77,79.667,1357.4,3622.41,33.223,,H,SH
166,S,e14,DK122,1,80,62.067,1360.83,3500.06,38.8802,,A,SA
2604,S,e35,IR77298-5-6-25,3,75,64.667,1361.19,3644.09,37.3533,,I,SI
1910,S,e4,D6-547-2R,2,70,65,1365.52,4248.93,28.4934,,G,SG
2210,S,e4,D6-547-2R,2,70,65,1365.52,4248.93,28.4934,,H,SH
2041,S,e48,PSBRC68,1,77,87.333,1370.42,6377.28,19.0522,,G,SG
2341,S,e48,PSBRC68,1,77,87.333,1370.42,6377.28,19.0522,,H,SH
1707,S,e36,IR78877-163-B-1-1,3,72,151.167,1373.62,8680.98,14.0289,,F,SF
133,S,e1,APO,1,91,78.1,1373.67,5036.49,27.2743,,A,SA
2367,C,e6,DA8,3,70,80.333,1376.88,3909.14,35.2221,,I,CI
197,S,e24,IR70215-70-CPA-3-4-1-3,2,84,73.3,1378.26,5378.72,25.6244,,A,SA
1928,S,e10,DK106,2,75,67.833,1382.12,3927.66,31.199,,G,SG
2228,S,e10,DK106,2,75,67.833,1382.12,3927.66,31.199,,H,SH
187,S,e21,DSL-69-6,1,88,65.767,1397.01,4155.98,33.6144,,A,SA
202,S,e26,IR71700-247-1-1,1,82,67.8,1397.94,4258.67,32.8259,,A,SA
191,S,e22,DSL-89-3,2,82,56.667,1402.74,4129.92,33.9653,,A,SA
398,C,e46,KALIA,2,79,92.667,1404,7996.4,17.5579,,B,CB
2574,S,e25,IR71525-19-1-1,3,65,74.333,1407.45,4063.85,34.6336,,I,SI
2559,S,e20,DK167,3,70,72.333,1412.05,4768.85,29.6098,,I,SI
2555,S,e19,DK157,2,73,62,1412.67,3733.54,37.8373,,I,SI
2572,S,e25,IR71525-19-1-1,1,63,94.333,1414.47,4409.4,32.0785,,I,SI
233,S,e38,IR78908-121-B-2-B,2,75,76,1414.75,3320.37,42.6083,,A,SA
2009,S,e37,IR78905-105-1-2-2,2,73,81,1415.3,3146,39.8856,,G,SG
2309,S,e37,IR78905-105-1-2-2,2,73,81,1415.3,3146,39.8856,,H,SH
188,S,e21,DSL-69-6,2,86,67.333,1425.29,4888.01,29.1589,,A,SA
2612,S,e38,IR78908-121-B-2-B,2,65,88.333,1427.83,3782.71,37.7462,,I,SI
2621,S,e41,IR78910-23-1-3-3,2,65,81.333,1428.01,3405.13,41.9369,,I,SI
1445,S,e49,RR72-18-832,2,76,69.333,1433.43,7326.67,17.3458,,E,SE
253,S,e45,IR81025-B-425-B,1,86,73.6,1439.25,3054.49,47.1193,,A,SA
1349,S,e17,DK136,2,74,73.167,1440.97,6169.96,20.7061,,E,SE
2005,S,e36,IR78877-163-B-1-1,1,70,82.667,1441.84,4030.27,31.7183,,G,SG
2305,S,e36,IR78877-163-B-1-1,1,70,82.667,1441.84,4030.27,31.7183,,H,SH
2035,S,e46,KALIA,1,70,99.333,1442.07,3387.94,37.7379,,G,SG
2335,S,e46,KALIA,1,70,99.333,1442.07,3387.94,37.7379,,H,SH
301,C,e14,DK122,1,81,77,1444.6,6908.07,20.9118,,B,CB
257,S,e47,M4FNS-3076,2,86,57.167,1445.88,4733.76,30.544,,A,SA
319,C,e20,DK167,1,81,85.667,1446.8,4434.27,32.6277,,B,CB
2591,S,e31,IR77298-14-1-2,2,73,70.667,1451.57,3303.09,43.9458,,I,SI
51,C,e25,IR71525-19-1-1,3,86,104.667,1453.69,2763.84,52.5968,,A,CA
1318,S,e7,DGI-196,1,81,78.167,1458.69,5545.4,23.3214,,E,SE
509,S,e35,IR77298-5-6-25,2,83,68.333,1461.07,7097.07,20.5869,,B,SB
227,S,e35,IR77298-5-6-25,2,82,69,1461.36,4634.89,31.5295,,A,SA
1367,S,e23,DSU-4-18,2,88,63.833,1461.36,5890.51,21.9954,,E,SE
164,S,e13,DK117,2,79,60.8,1461.84,3433.97,42.5701,,A,SA
1524,C,e25,IR71525-19-1-1,3,70,121.333,1463.33,6922.72,18.741,,F,CF
454,S,e17,DK136,1,83,77,1465.73,4324.4,33.8945,,B,SB
1747,S,e50,URI,1,82,152,1465.88,9002.98,14.4357,,F,SF
1929,S,e10,DK106,3,77,69.333,1467.87,4650.88,27.982,,G,SG
2229,S,e10,DK106,3,77,69.333,1467.87,4650.88,27.982,,H,SH
397,C,e46,KALIA,1,79,78.333,1468.2,6703.33,21.9025,,B,CB
1381,S,e28,IR74371-54-1-1,1,74,76.333,1469.85,4779.3,27.2668,,E,SE
505,S,e34,IR77298-5-6-18,1,85,74.333,1470.53,6347.87,23.1658,,B,SB
250,S,e44,IR81024-B-275-3-B,1,84,68.533,1471.81,3521.05,41.8003,,A,SA
2534,S,e12,DK109,2,75,59.333,1473.51,3039.15,48.4845,,I,SI
1975,S,e26,IR71700-247-1-1,1,68,85.833,1477.3,4041.84,32.4054,,G,SG
2275,S,e26,IR71700-247-1-1,1,68,85.833,1477.3,4041.84,32.4054,,H,SH
245,S,e42,IR78910-34-B-2-2,2,75,78.933,1477.54,3286.69,44.9554,,A,SA
531,S,e42,IR78910-34-B-2-2,3,81,79,1478.87,5729.53,25.8113,,B,SB
1924,S,e9,DGI-81,1,77,74.833,1483.61,3840.17,34.3292,,G,SG
2224,S,e9,DGI-81,1,77,74.833,1483.61,3840.17,34.3292,,H,SH
431,S,e9,DGI-81,2,83,71,1484.2,7352.73,20.1857,,B,SB
2609,S,e37,IR78905-105-1-2-2,2,70,80.667,1485.5,3058.17,48.5747,,I,SI
1969,S,e24,IR70215-70-CPA-3-4-1-3,1,81,79.333,1489.72,4349.38,30.3671,,G,SG
2269,S,e24,IR70215-70-CPA-3-4-1-3,1,81,79.333,1489.72,4349.38,30.3671,,H,SH
251,S,e44,IR81024-B-275-3-B,2,84,80.733,1491.59,2987.64,49.9253,,A,SA
2512,S,e5,D6-547-5S,1,75,59.333,1493.33,4819.32,30.9864,,I,SI
1976,S,e26,IR71700-247-1-1,2,97,80.5,1497.63,3543,37.4767,,G,SG
2276,S,e26,IR71700-247-1-1,2,97,80.5,1497.63,3543,37.4767,,H,SH
1872,C,e41,IR78910-23-1-3-3,3,68,114.5,1502.34,5013.84,26.5659,,G,CG
2172,C,e41,IR78910-23-1-3-3,3,68,114.5,1502.34,5013.84,26.5659,,H,CH
434,S,e10,DK106,2,83,80,1506.33,5817.67,25.8924,,B,SB
2567,S,e23,DSU-4-18,2,73,63,1506.65,3300.4,45.6507,,I,SI
1982,S,e28,IR74371-54-1-1,2,70,91.5,1510.62,3655.18,36.6414,,G,SG
2282,S,e28,IR74371-54-1-1,2,70,91.5,1510.62,3655.18,36.6414,,H,SH
1900,S,e1,APO,1,81,93.667,1511.61,4397.72,30.4746,,G,SG
2200,S,e1,APO,1,81,93.667,1511.61,4397.72,30.4746,,H,SH
218,S,e32,IR77298-14-1-2-1,2,82,62.4,1513.38,3688.11,41.0341,,A,SA
1402,S,e35,IR77298-5-6-25,1,78,70.167,1514.06,6842.23,19.6188,,E,SE
1985,S,e29,IR75282-58-1-2-3,2,77,73.667,1514.23,5633.91,23.8291,,G,SG
2285,S,e29,IR75282-58-1-2-3,2,77,73.667,1514.23,5633.91,23.8291,,H,SH
413,S,e2,BINUHANGIN,2,83,85.333,1518.8,7908.8,19.2039,,B,SB
2583,S,e28,IR74371-54-1-1,3,70,79.333,1518.9,3669.52,41.3923,,I,SI
1422,S,e41,IR78910-23-1-3-3,3,69,93.5,1522.58,6876.85,19.6299,,E,SE
1977,S,e26,IR71700-247-1-1,3,55,103.667,1524.03,2917.8,46.3089,,G,SG
2277,S,e26,IR71700-247-1-1,3,55,103.667,1524.03,2917.8,46.3089,,H,SH
184,S,e20,DK167,1,86,85.8,1528.02,4830.39,31.6335,,A,SA
1262,C,e38,IR78908-121-B-2-B,2,59,93.333,1535.06,5360.51,25.3889,,E,CE
473,S,e23,DSU-4-18,2,83,78.333,1535.87,6226.33,24.6673,,B,SB
2524,S,e9,DGI-81,1,71.5,61.833,1536.28,3260.03,47.1495,,I,SI
1916,S,e6,DA8,2,73,93.5,1536.45,3324.54,40.9744,,G,SG
2216,S,e6,DA8,2,73,93.5,1536.45,3324.54,40.9744,,H,SH
457,S,e18,DK142,1,81,78.333,1539.53,6153.27,25.0198,,B,SB
1396,S,e33,IR77298-14-1-2-13,1,81,58.833,1542.1,6222.56,21.972,,E,SE
323,C,e21,DSL-69-6,2,81,95.333,1542.4,7076.67,21.7956,,B,CB
220,S,e33,IR77298-14-1-2-13,1,82,63.367,1546.11,4445.38,34.7802,,A,SA
1830,C,e27,IR74371-46-1-1,3,66,99.667,1548.76,6555.93,20.9449,,G,CG
2130,C,e27,IR74371-46-1-1,3,66,99.667,1548.76,6555.93,20.9449,,H,CH
1950,S,e17,DK136,3,70,72,1548.81,4221.91,32.525,,G,SG
2250,S,e17,DK136,3,70,72,1548.81,4221.91,32.525,,H,SH
2640,S,e47,M4FNS-3076,3,75,57,1549.22,4293.47,36.0832,,I,SI
1374,S,e25,IR71525-19-1-1,3,71,94.5,1551.22,5771.17,23.8306,,E,SE
345,C,e28,IR74371-54-1-1,3,81,93.333,1551.4,6670.27,23.2584,,B,CB
1649,S,e17,DK136,2,70,140.5,1551.93,6855.74,20.0699,,F,SF
2580,S,e27,IR74371-46-1-1,3,70,82.333,1552.01,3733.08,41.5746,,I,SI
2602,S,e35,IR77298-5-6-25,1,73,56.333,1565.08,4997.79,31.3154,,I,SI
1906,S,e3,D6-446-6S,1,77,65.5,1567.78,3999.66,34.7528,,G,SG
2206,S,e3,D6-446-6S,1,77,65.5,1567.78,3999.66,34.7528,,H,SH
1937,S,e13,DK117,2,75,81.667,1571.19,4023.01,34.6261,,G,SG
2237,S,e13,DK117,2,75,81.667,1571.19,4023.01,34.6261,,H,SH
462,S,e19,DK157,3,85,70,1571.87,6047.2,25.9933,,B,SB
1353,S,e18,DK142,3,74,68.5,1574.33,6931.93,20.1358,,E,SE
209,S,e28,IR74371-54-1-1,2,83,84.667,1576.03,6290.71,25.0533,,A,SA
1616,S,e6,DA8,2,68,130.333,1580.13,6931,20.2126,,F,SF
155,S,e10,DK106,2,84,62.067,1580.3,4165.44,37.9383,,A,SA
2541,S,e14,DK122,3,70,78,1580.39,3697.77,42.7389,,I,SI
1412,S,e38,IR78908-121-B-2-B,2,63,92.667,1581.91,4728.25,29.6625,,E,SE
161,S,e12,DK109,2,86,66.333,1587.42,4433.15,35.8079,,A,SA
1352,S,e18,DK142,2,76,71.167,1588.65,7519.03,18.7324,,E,SE
232,S,e38,IR78908-121-B-2-B,1,75,80.667,1590.26,3902.12,40.7537,,A,SA
2542,S,e15,DK124,1,73,77.667,1598.62,4529.87,35.2907,,I,SI
2022,S,e41,IR78910-23-1-3-3,3,73,78.167,1600.78,4012.91,35.3669,,G,SG
2322,S,e41,IR78910-23-1-3-3,3,73,78.167,1600.78,4012.91,35.3669,,H,SH
2526,S,e9,DGI-81,3,73,65.833,1602.46,4197.67,38.4643,,I,SI
488,S,e28,IR74371-54-1-1,2,83,80.667,1605.13,6145.13,26.1204,,B,SB
761,S,e21,DSL-69-6,2,82,83,1607.06,7018.15,20.3019,,C,SC
2047,S,e50,URI,1,81,94.5,1608.32,5275.4,27.0298,,G,SG
2347,S,e50,URI,1,81,94.5,1608.32,5275.4,27.0298,,H,SH
1681,S,e28,IR74371-54-1-1,1,77,121.667,1610.48,6813.72,20.9555,,F,SF
1340,S,e14,DK122,2,76,62.833,1612.68,5880.2,24.3155,,E,SE
2639,S,e47,M4FNS-3076,2,73,56.333,1614.31,4057.97,39.7811,,I,SI
2538,S,e13,DK117,3,73,77.667,1615.84,4113.2,39.2842,,I,SI
181,S,e19,DK157,1,75,82.233,1617.53,3738.2,43.2703,,A,SA
2031,S,e44,IR81024-B-275-3-B,3,75,83.667,1619.45,3831.93,37.4693,,G,SG
2331,S,e44,IR81024-B-275-3-B,3,75,83.667,1619.45,3831.93,37.4693,,H,SH
235,S,e39,IR78908-156-B-2-B,1,75,89.433,1621.57,4094.23,39.6062,,A,SA
1999,S,e34,IR77298-5-6-18,1,77,77.667,1621.98,3961.37,36.3016,,G,SG
2299,S,e34,IR77298-5-6-18,1,77,77.667,1621.98,3961.37,36.3016,,H,SH
2044,S,e49,RR72-18-832,1,75,75.667,1622.47,4177.48,34.4341,,G,SG
2344,S,e49,RR72-18-832,1,75,75.667,1622.47,4177.48,34.4341,,H,SH
2554,S,e19,DK157,1,73,60.333,1627.6,4071.36,39.9768,,I,SI
1695,S,e32,IR77298-14-1-2-1,3,77,95.333,1633.46,6708.56,21.5877,,F,SF
1920,S,e7,DGI-196,3,77,79,1635.95,3676.23,39.4542,,G,SG
2220,S,e7,DGI-196,3,77,79,1635.95,3676.23,39.4542,,H,SH
2632,S,e45,IR81025-B-425-B,1,70,87.667,1640.4,4089.18,40.1157,,I,SI
224,S,e34,IR77298-5-6-18,2,86,65.033,1641.45,3491.76,47.0093,,A,SA
2042,S,e48,PSBRC68,2,73,79,1641.66,5083.16,28.6336,,G,SG
2342,S,e48,PSBRC68,2,73,79,1641.66,5083.16,28.6336,,H,SH
196,S,e24,IR70215-70-CPA-3-4-1-3,1,84,67.533,1642.37,5114.12,32.1145,,A,SA
2585,S,e29,IR75282-58-1-2-3,2,73,73,1643.85,5387.83,30.5104,,I,SI
146,S,e7,DGI-196,2,84,68.833,1648.67,3986.81,41.3531,,A,SA
2048,S,e50,URI,2,81,95.167,1651.69,4048.12,36.1744,,G,SG
2348,S,e50,URI,2,81,95.167,1651.69,4048.12,36.1744,,H,SH
1605,S,e2,BINUHANGIN,3,82,128.333,1652.32,9988.41,14.6664,,F,SF
