Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
2179,C,e44,IR81024-B-275-3-B,1,68,105.333,3586.77,8916.43,35.6648,,H,CH
1480,C,e11,DK108,1,75,125.667,3587.46,9928.57,32.0352,,F,CF
2796,C,e49,RR72-18-832,3,80,136,3587.46,10603.1,33.834,,J,CJ
739,S,e14,DK122,1,75,75.9,3588.23,7440.65,42.7559,,C,SC
2861,S,e21,DSL-69-6,2,78,94,3589.08,9881.54,36.3211,,J,SJ
775,S,e26,IR71700-247-1-1,1,82,102.567,3591.18,7739.27,41.14,,C,SC
1115,S,e39,IR78908-156-B-2-B,2,74,113.333,3591.18,7565.93,42.0825,,D,SD
1060,S,e21,DSL-69-6,1,79,84.667,3591.45,8182.84,38.9128,,D,SD
736,S,e13,DK117,1,79,85.5,3593.91,7335.68,43.4363,,C,SC
1478,C,e10,DK106,2,82,103,3598.18,9407.87,33.9092,,F,CF
1593,C,e48,PSBRC68,3,86,134,3599.88,13730.18,23.2455,,F,CF
2910,S,e37,IR78905-105-1-2-2,3,71,125.333,3603.82,9741.94,36.9928,,J,SJ
1836,C,e29,IR75282-58-1-2-3,3,75,85.333,3604.02,8636.58,36.9974,,G,CG
2136,C,e29,IR75282-58-1-2-3,3,75,85.333,3604.02,8636.58,36.9974,,H,CH
2453,C,e35,IR77298-5-6-25,2,73,76.667,3605.21,7963.04,45.2743,,I,CI
900,C,e17,DK136,3,79,130.333,3605.31,9866.33,32.3977,,D,CD
917,C,e23,DSU-4-18,2,84,96.667,3605.88,8577.5,37.2715,,D,CD
2814,S,e5,D6-547-5S,3,78,107.333,3606.05,10071.25,35.8054,,J,SJ
2452,C,e35,IR77298-5-6-25,1,75,84.667,3612.3,7710.39,46.8498,,I,CI
1100,S,e34,IR77298-5-6-18,2,84,90.333,3612.72,8951.03,35.7839,,D,SD
2933,S,e45,IR81025-B-425-B,2,71,124.333,3613.07,8761.94,41.236,,J,SJ
774,S,e25,IR71525-19-1-1,3,68,104.333,3614.54,6953.98,46.0836,,C,SC
1724,S,e42,IR78910-34-B-2-2,2,70,110,3615.03,10080.14,31.7959,,F,SF
120,C,e49,RR72-18-832,3,81,91.7,3616,7837.74,46.1358,,A,CA
1493,C,e15,DK124,2,89,125.667,3617.01,10183.3,31.4911,,F,CF
2805,S,e2,BINUHANGIN,3,78,116.333,3623.57,9195.52,39.4059,,J,SJ
1054,S,e19,DK157,1,79,76.667,3624.88,10149.95,31.6634,,D,SD
791,S,e31,IR77298-14-1-2,2,79,91.9,3625.03,8073.28,39.8096,,C,SC
1550,C,e34,IR77298-5-6-18,2,75,111,3625.28,9352.1,34.3684,,F,CF
1511,C,e21,DSL-69-6,2,70,120,3625.35,9342.76,34.4034,,F,CF
998,C,e50,URI,2,86,148,3625.47,9449.54,34.0158,,D,CD
1812,C,e21,DSL-69-6,3,73,99,3625.52,7861.58,40.8872,,G,CG
