trt,depth,genotype,plot,RLD,laterals,diam,forks
stress,15,Psbrc82,12,8.563850221,86.96553247,0.128166667,11147.66667
stress,15,Swarna,15,9.263482051,88.78832196,0.122666667,13466.33333
stress,15,N22,16,2.716271618,78.71597063,0.2033,3528.666667
stress,15,Swarna,17,6.53858992,86.29190948,0.1363,8422
stress,15,IR64,19,3.760710698,81.89322004,0.162566667,4516
stress,15,Dular,20,4.593994872,84.89925096,0.1498,6063
stress,15,IR74731-70-1-1,22,4.447269319,83.12448878,0.147966667,5283.333333
stress,15,N22,23,4.518729973,86.06773712,0.143666667,5710.333333
stress,15,Psbrc82,24,10.95435721,88.09687073,0.116,15260.33333
stress,15,IR74731-70-1-1,25,8.321235013,87.88712089,0.1285,10641.33333
stress,15,Swarna,26,6.624127144,85.33971186,0.135966667,8621
stress,15,Psbrc82,28,10.01654483,87.91766524,0.1287,14207.33333
stress,15,Dular,29,10.37845959,88.72891963,0.134566667,15419
stress,15,N22,31,4.508597878,81.2921447,0.174066667,5293
stress,15,IR64,32,10.04936074,88.50004737,0.128433333,13962.66667
stress,30,Dular,2,2.672441733,75.88016837,0.2025,2901
stress,30,N22,4,1.386956676,66.8512325,0.238733333,1402
stress,30,IR74731-70-1-1,5,1.049443678,60.66621199,0.275133333,744.6666667
stress,30,Swarna,6,1.196110522,68.63589313,0.2357,1413.666667
stress,30,Psbrc82,7,0.99705641,67.22993259,0.231533333,708
stress,30,IR64,8,1.467143413,64.5501688,0.230433333,1049
stress,30,Dular,9,1.011608488,68.37464276,0.2456,2534.666667
stress,30,IR64,10,1.254632891,74.61724027,0.1907,2224.666667
stress,30,IR74731-70-1-1,11,0.579899912,56.78568132,0.273533333,1755
stress,30,Psbrc82,12,0.942887003,72.7779793,0.190366667,2298.666667
stress,30,Swarna,15,1.616779487,73.57047193,0.1793,4014
stress,30,N22,16,1.80148382,64.3397539,0.266066667,2250.333333
stress,30,Swarna,17,1.01636481,68.6216803,0.275633333,2680.666667
stress,30,IR64,19,1.198335986,73.98683793,0.1826,2674.333333
stress,30,Dular,20,1.387170469,75.20142174,0.193,2072
stress,30,IR74731-70-1-1,22,1.08068435,70.97807847,0.2167,2736.333333
stress,30,N22,23,2.006900796,75.43353107,0.195466667,3537.333333
stress,30,Psbrc82,24,1.096662246,69.80009267,0.240466667,978.6666667
stress,30,IR74731-70-1-1,25,1.12366366,65.84284645,0.226533333,2254
stress,30,Swarna,26,1.859792042,75.53069336,0.178166667,1779.333333
stress,30,Psbrc82,28,1.7485542,73.83803685,0.173566667,4298.333333
stress,30,Dular,29,2.609236782,76.57846785,0.1985,3201.333333
stress,30,N22,31,1.166402653,72.6433439,0.210933333,3009.666667
stress,30,IR64,32,2.62550221,71.92831028,0.187233333,2533.666667
stress,45,Dular,2,0.74557595,79.14548668,0.167866667,4043.333333
stress,45,N22,4,0.841189036,77.80970321,0.176633333,3476.333333
stress,45,IR74731-70-1-1,5,0.673896905,72.32447642,0.184833333,2584.333333
stress,45,Swarna,6,2.33502847,79.5278175,0.160866667,5184
stress,45,Psbrc82,7,0.911499027,70.75736758,0.185933333,5468.333333
stress,45,IR64,8,0.938103448,64.63115846,0.223133333,4417.333333
stress,45,Dular,9,0.77648435,70.51121477,0.217433333,3684
stress,45,IR64,10,0.795989567,71.15839759,0.218133333,3850.666667
stress,45,IR74731-70-1-1,11,0.725171176,59.24825484,0.232733333,3389.333333
stress,45,Psbrc82,12,0.352053404,73.49147313,0.1712,1046.333333
stress,45,Swarna,15,0.543386737,69.64248399,0.126166667,2308.666667
stress,45,N22,16,0.590951017,77.87908833,0.165033333,2318.333333
stress,45,Swarna,17,0.926539876,70.44343152,0.188533333,2385
stress,45,IR64,19,0.736200707,67.18602906,0.219966667,2030.666667
stress,45,Dular,20,0.58675809,75.9671866,0.1036,2212
stress,45,IR74731-70-1-1,22,0.537255526,78.8270748,0.123533333,3267.333333
stress,45,N22,23,0.765398232,65.68192779,0.214133333,3153
stress,45,Psbrc82,24,0.598952078,67.03077285,0.180266667,2181.666667
stress,45,IR74731-70-1-1,25,0.694578957,70.35685859,0.195266667,2141
stress,45,Swarna,26,0.368214854,66.19934805,0.219,1062.333333
stress,45,Psbrc82,28,0.582300973,62.87128237,0.2385,2279.333333
stress,45,Dular,29,0.620455349,59.85164827,0.1428,812
stress,45,N22,31,0.556862423,77.25234234,0.163033333,2217.333333
stress,45,IR64,32,0.745747303,62.21151327,0.267766667,789.6666667
stress,60,Dular,2,0.061583378,74.48826588,0.053833333,27
stress,60,N22,4,0,,0,0
stress,60,IR74731-70-1-1,5,0.196847745,66.80515182,0.122766667,145.3333333
stress,60,Swarna,6,0.139426702,63.99785043,0.1767,138
stress,60,Psbrc82,7,0.258137224,48.84966632,0.251866667,155.6666667
stress,60,IR64,8,0.210338285,62.25677719,0.074566667,160.3333333
stress,60,Dular,9,0.261025641,59.69477556,0.234933333,174.3333333
stress,60,IR64,10,0.107233068,70.69353471,0.113266667,61.33333333
stress,60,IR74731-70-1-1,11,0,,0,0
stress,60,Psbrc82,12,0.194259063,64.15415619,0.1293,119
stress,60,Swarna,15,0.174881874,68.31116668,0.130866667,102.6666667
stress,60,N22,16,0.221456057,73.89032336,0.181533333,217.6666667
stress,60,Swarna,17,0,,0,0
stress,60,IR64,19,0.257178073,68.61258134,0.125866667,235.3333333
stress,60,Dular,20,0.279138108,67.27505734,0.1439,350
stress,60,IR74731-70-1-1,22,0.067054642,82.19838887,0.0561,81
stress,60,N22,23,0,,0,0
stress,60,Psbrc82,24,0.138969584,48.78448427,0.144066667,97.33333333
stress,60,IR74731-70-1-1,25,0.145412732,85.65073243,0.0811,71.33333333
stress,60,Swarna,26,0.057264368,85.71773363,0.047333333,34.33333333
stress,60,Psbrc82,28,0.067673563,70.55618336,0.0723,55.33333333
stress,60,Dular,29,0,,0,0
stress,60,N22,31,0.097223342,69.60919239,0.047733333,64
stress,60,IR64,32,0.082029531,56.27201265,0.0622,42.66666667
