"","P2=1","P2=2","P2=3","P2=4","P2=5","P2=6","P2=7"
"P1=1","22.7000","24.6100","22.0867","22.0833","23.3800","21.6600","23.8400"
"P1=2","24.4800","24.1067","24.1400","24.0933","24.0633","22.1000","26.3267"
"P1=3","16.5267","22.7233","17.4267","20.6667","20.7300","17.2000","21.4833"
"P1=4","22.7267","23.7633","22.6500","21.9500","22.4767","19.6567","21.4000"
"P1=5","22.2300","25.5900","20.1933","23.6100","18.7433","20.5667","24.7467"
"P1=6","17.2033","18.8067","15.1633","16.8633","21.0167","21.2867","24.9967"
"P1=7","26.2033","26.4900","22.1533","26.4933","24.9133","21.2067","21.4533"
