"","1","2","3","4","5","6","7"
"1","        ","148.3333","163.9000","152.9000","142.3667","160.6667","191.3333"
"2","        ","        ","142.9000","143.9000","131.5667","143.5333","186.6667"
"3","        ","        ","        ","163.5667","136.9000","166.4333","189.7667"
"4","        ","        ","        ","        ","149.8000","164.8000","200.2333"
"5","        ","        ","        ","        ","        ","138.9000","175.7667"
"6","        ","        ","        ","        ","        ","        ","195.5667"
"7","        ","        ","        ","        ","        ","        ","        "
