POP_CODE,SPECIES,CU_NO,CU_LT,LE_LT,LE_WD,FL_WD,LI_LT,NO_BPB,PAN_LT,AW_LT,AW_TH,SP_LT,SP_WD,STL_WD,STI_LT,AN_LT,SP_FRT,SPWD_SPLT
R60,RUFIPOGON,146.6,134.12,36.8,0.98,1.04,14.52,1.4,18.36,62.46,0.2,8.58,2.36,0.82,1.68,5.7,25.64,0.28
R61,RUFIPOGON,104.8,169.6,48.48,1.14,1.24,21.92,1.28,23,57.2,0.18,8.62,2.68,0.72,2.04,4.42,25.16,0.31
R62,RUFIPOGON,159.75,108.9,31,0.9,0.95,6.95,1.4,14.6,46.7,0.2,7.98,2.18,0.75,1.65,5.18,17.75,0.27
R63,RUFIPOGON,91.6,139.88,42.92,0.96,1.04,25.92,1.36,23.24,67.36,0.2,9.46,2.42,0.66,2.04,5.16,47.6,0.26
R64,RUFIPOGON,75.4,140.2,50.36,0.86,0.88,21.16,1.2,24.12,99.7,0.2,9.04,2.36,0.8,2.2,5.42,32.08,0.26
R66,RUFIPOGON,56.8,137.92,46.84,0.82,0.94,26.44,1.04,28.16,72.42,0.2,9.44,2.32,0.78,2.16,6.14,52.44,0.25
R67,RUFIPOGON,114.8,189.76,45.76,0.94,1,22.68,1.16,21.64,102.12,0.2,8.7,2.38,0.74,1.9,6.18,54.04,0.27
R7,RUFIPOGON,99.25,158.7,35.35,0.9,0.95,19.85,1,20.5,66.73,0.23,8.38,2.38,0.68,1.65,5.03,35.95,0.28
R8,RUFIPOGON,199.67,144.87,50.73,0.77,0.83,24.4,1,23.73,76.77,0.2,8.43,2.33,0.73,1.7,4.27,24.93,0.28
R9,RUFIPOGON,230.4,124.4,32.04,0.8,0.88,14.4,1.24,19.98,76.18,0.22,8.4,2.36,0.76,1.92,4.44,40.96,0.28
