"Gen","Y1_LSMean","Y1_StdErrMean","Y3_LSMean","Y3_StdErrMean"
"1",46.9183236983127,3.27783241032359,22.7999999999996,2.2638204028465
"2",41.8,2.32479216128058,17.75,2.2638204028465
"3",39.8,2.32479216128058,21.2250000000005,2.2638204028465
"4",39.15,2.32479216128058,18.2999999999999,2.2638204028465
"5",35,2.32479216128058,22.7500000000005,2.2638204028465
"6",50.625,2.32479216128058,17.7250000000006,2.2638204028465
"7",46.4,2.32479216128058,22.7250000000009,2.2638204028465
"8",44.75,2.32479216128058,18.0249999999995,2.2638204028465
